apices,coty,In,hypo,leaves
Solaet3_01g000010,9.38295898414486,2.4272511412754,11.8590440626818,10.153556034366,5.13164176867615
Solaet3_01g000020,0.0197247379726287,0,2.28104816777118,0.0892776687735457,0
Solaet3_01g000030,206.451013781709,272.582243001097,176.326244247079,191.769146266756,275.590704620873
Solaet3_01g000040,0,0.0287624620312155,0,0,0
Solaet3_01g000050,47.9258867605428,21.9574984864583,47.3341376070969,36.5894409417587,27.91325249432
Solaet3_01g000060,706.911005387342,2072.49646656988,861.362321718536,1578.53442204947,1922.19169127107
Solaet3_01g000070,53.2825001490033,62.1216294439603,70.6531638006235,54.0412714207893,70.8673641878372
Solaet3_01g000080,166.266651622073,79.2805932159495,98.6787677522175,181.324302177989,55.2854800682691
Solaet3_01g000090,252.892040869962,53.148085136329,217.818313790301,121.669678975444,88.1091548979749
Solaet3_01g000100,31.9834526371849,86.562148468065,22.3989164740777,27.0756067670527,77.5610356182007
Solaet3_01g000110,14.3118244833831,9.4934407624166,25.1963037270364,22.8652260182566,7.24052648440626
Solaet3_01g000120,38.9144917325341,367.695521483295,82.4790117278748,62.7244482268798,380.78947051291
Solaet3_01g000130,0,0,0,0.0215621949450943,0
Solaet3_01g000140,0.0513800613424753,0.0389172650329391,0.109381995095723,0.0283306350282925,0
Solaet3_01g000150,0,0,0.091659539394118,0,0
Solaet3_01g000160,0.0373951958009553,0,0,0,0
Solaet3_01g000170,8.52723496986025,2.02013347454443,7.15925444558348,3.98342503539414,3.16886249159317
Solaet3_01g000180,0.056037988004779,0,0,0,0
Solaet3_01g000190,0.79940753926047,2.61900620812424,0.960380920999777,29.41048624541,3.03416239162754
Solaet3_01g000200,52.0882009468011,16.9232879233662,44.2839663577479,66.806091543507,18.3290341953308
Solaet3_01g000210,7.22351317147753,1.15008791228924,4.34255987749817,3.17660460057081,1.59696269463118
Solaet3_01g000220,2.08781214798881,0.0778675911842122,1.47597052313778,0.878987196261222,0.188097860678375
Solaet3_01g000230,134.314106061066,43.9976249983296,99.956916826954,92.860064992662,39.1640295635865
Solaet3_01g000240,77.6501287573406,47.2881629351746,78.526259730285,55.5396040282654,41.2697612532458
Solaet3_01g000250,18.9381111541106,3.15328667495911,8.59794869720531,11.9963955377065,4.16279616585871
Solaet3_01g000260,13.0813214806739,4.6255762314879,10.9557427518936,9.14987424650557,4.72626719278391
Solaet3_01g000270,235.891234742379,143.484234364235,141.545599044072,79.6251759539708,110.170375310604
Solaet3_01g000290,23.167946428562,3.11728405007836,25.8529047250048,10.2391835368887,4.88040030863888
