apices,coty,leaves,flower,fruit,root
Solyc00g500001,0,0,0,0,0,0
Solyc00g500002,0,0,0,0,0,0
Solyc00g500003,0,0,0,0,0.00605820162145959,0.0477409051008039
Solyc00g500004,0,0,0,0,0,0
Solyc00g500005,0,0,0,0,0,0
Solyc00g500006,0,0,0,0,0,0
Solyc00g500007,0,0,0,0,0,0
Solyc00g500008,0,0,0,0,0,0
Solyc00g500009,0,0,0,0,0,0
Solyc00g500010,0,0,0,0,0,0
Solyc00g500011,0,0,0,0,0,0
Solyc00g500012,0,0,0,0,0,0
Solyc00g500013,0,0,0,0,0,0
Solyc00g500014,0,0,0,0,0,0
Solyc00g500015,0,0,0,0,0,0
Solyc00g500016,0,0,0,0,0,0
Solyc00g500017,0,0,0,0,0,0
Solyc00g500018,0,0,0,0,0,0
Solyc00g014290,0,0,0,0,0,0
Solyc00g005280,0,0,0,0,0,0
Solyc00g500019,0,0,0,0,0,0
Solyc00g500020,0,0,0,0,0,0
Solyc00g500021,0,0,0,0,0,0
Solyc00g500022,0,0,0,0,0,0
Solyc00g180440,0,0,0.0236787474452857,0,0,0
Solyc00g500023,0.0294831715071085,0,0.789067390498448,0,0,0
Solyc00g500024,0,0,0,0,0,0
Solyc00g500025,0,0,0,0,0,0
Solyc00g500026,0,0,0,0,0,0
Solyc00g500027,0,0,0,0,0,0
Solyc00g500028,0,0,0.0295465085430204,0,0,0
Solyc00g500029,0,0,0.0478838911855931,0,0,0
Solyc00g500030,0,0,0,0,0,0
Solyc00g500031,0,0,0,0,0,0
Solyc00g500032,0,0,0,0,0,0
Solyc00g500033,0,0,0,0,0,0
Solyc00g500034,0,0,0.00944635978387059,0,0,0
Solyc00g500035,0,0,0,0,0,0
Solyc00g500036,0,0,0,0,0,0
Solyc00g500037,0,0,0,0,0,0
Solyc00g500038,0,0,0,0,0,0
Solyc00g500039,0,0,0,0,0,0
Solyc00g500040,0,0,0,0,0,0
Solyc00g500041,0,0,0,0,0,0
Solyc00g500042,0,0,0.00229423892071517,0,0,0
Solyc00g500043,0,0,0,0,0,0
Solyc00g500044,0,0,0.0141821515717663,0,0,0
Solyc00g500045,0,0,0,0,0,0
Solyc00g500046,0,0,0,0,0,0
Solyc00g500047,0,0,0.0126025653105824,0,0,0
Solyc00g277510,0,0,0,0,0,0
Solyc00g500048,0,0,0,0,0,0
Solyc00g500049,0,0,0,0,0,0
Solyc00g500050,0,0,0,0,0,0
Solyc00g500051,0,0,0,0,0,0
Solyc00g500052,0,0,0,0,0,0
Solyc00g500053,0,0,0,0,0,0
Solyc00g500054,0,0,0.00304815870332685,0,0,0
Solyc00g500055,0,0,0,0,0,0
Solyc00g500056,0,0,0,0,0,0
Solyc00g500057,0,0,0,0,0,0
Solyc00g500058,0,0,0,0,0,0
Solyc00g500059,0,0,0,0,0,0
Solyc00g500060,0,0.418491551387937,0.00528057022673629,0,0,0
Solyc00g500061,0,0,0.0129783457167805,0,0,0
Solyc00g500062,1.07047564513685,248.883857301045,25.9149249738347,0.373157474316077,0.712065583127735,0.10513868032538
Solyc00g500063,85.6124328524261,66322.9046661422,456.773962781715,14.9261658627678,33.9035040911924,7.12408098493571
Solyc00g500064,0,0,0,0,0,0
Solyc00g500065,1.68726736585224,73.5866950289341,12.9989658604326,0.367461473880967,1.2382539654268,2.1717710389351
Solyc00g500066,0.515426436209392,0.150343632924594,2.04726602972824,0,0.222469733375814,0.228415537335742
Solyc00g500067,0,0,0,0,0,0
Solyc00g500068,0,0,0.0124587983176141,0,0,0
Solyc00g500069,0,0,0.604506315866916,0,0,0
Solyc00g500070,0,0,0.34440065678761,0,0,0
Solyc00g500071,0,0,0.013213857387768,0,0,0
Solyc00g500072,0,0,0,0,0,0
Solyc00g500073,0,0,0,0,0,0
Solyc00g500074,0,0,0.0915722870460779,0,0,0
Solyc00g500075,0,0,0,0,0,0
Solyc00g500076,0,0,0,0,0,0
Solyc00g500077,0,0,0.0167144099613782,0,0,0
Solyc00g500078,0,0,0.00796183561125632,0,0,0
Solyc00g500079,0,0,0,0,0,0
Solyc00g500080,0,0,0,0,0,0
Solyc00g500081,0,0,0,0,0,0
Solyc00g500082,0,0,0,0,0,0
Solyc00g500083,0,0,0.0304918057072714,0,0,0
Solyc00g500084,0,0,0.0578301367200333,0,0,0
Solyc00g500085,0,0,0,0,0,0
Solyc00g500086,0,0,0,0,0,0
Solyc00g500087,0,0,0,0,0,0
Solyc00g500088,0,0,0,0,0,0
Solyc00g500089,0.00289105876493094,0,0.000753718474874327,0,0,0
Solyc00g500090,0,0,0,0,0,0
Solyc00g500091,0,0,0,0,0,0
Solyc00g011670,0,0,0,0,0,0
Solyc00g011660,0,0,0.0143727087921585,0,0,0
Solyc00g500092,0,0,0,0,0,0
Solyc00g500093,0,0.127873836603835,0,0,0,0
Solyc00g500094,0,0,0,0,0,0
Solyc00g500095,0,0,0.052334604614319,0,0.0385132438735295,0.317085472151279
Solyc00g500096,0,0,0,0,0,0
Solyc00g011560,0,0,0,0,0,0
Solyc00g500097,0,0,0,0,0,0
Solyc00g500098,0,0,0,0,0,0
Solyc00g500099,0,0,0,0,0,0
Solyc00g500100,0,0,0,0,0,0
Solyc00g500101,0,0,0,0,0,0
Solyc00g500102,0,0,0,0,0,0
Solyc00g153980,0,0,0,0,0,0
Solyc00g309530,0,0,0,0,0,0
Solyc00g164580,0,0,0,0,0,0
Solyc00g210860,0,0,0,0,0,0
Solyc00g025400,0,0,0,0,0,0
Solyc00g022070,0,0,0,0,0,0
Solyc00g022080,0,0,0,0,0,0
Solyc00g022090,0,0,0,0,0,0
Solyc00g022100,0,0,0.027233963111806,0,0,0
Solyc00g500103,0,0.533965142736097,0.442436873487284,0,0.0934037378530226,0
Solyc00g072800,0,0,0,0,0,0
Solyc00g500104,0,0,0,0,0,0
Solyc00g500105,0,0,0,0,0,0
Solyc00g500106,0,0,0.0123541291018882,0,0,0
Solyc00g500107,0,0,0,0,0,0
Solyc00g500108,0,0,0,0,0,0
Solyc00g281110,0,0,0,0,0,0
Solyc00g500109,0,0,0,0,0,0
Solyc00g500110,0,0,0.0117000869729647,0,0,0
Solyc00g500111,0,0,0.058685874274187,0,0,0
Solyc00g500112,0,0,0.0192554415649185,0,0,0
Solyc00g142160,0,0,0,0,0,0
Solyc00g142170,0,0,0.00591842342916279,0,0,0
Solyc00g500113,0.0772743622627658,0,0,0,0,0
Solyc00g500114,0,0,0,0,0,0
Solyc00g500115,0,0.300687265849188,0.0960975317859428,0,0,0
Solyc00g500116,0,0,0,0,0.0283941903696122,0
Solyc00g500117,0,0,0.00352744781020186,0,0,0
Solyc00g500118,0,0,0,0,0,0
Solyc00g500119,0,0,0,0,0,0
Solyc00g500120,0,0,0,0,0,0
Solyc00g500121,0,0,0,0,0,0
Solyc00g015600,0,0,1.21997888378584,0,0,0
Solyc00g500122,0,0,0,0,0,0
Solyc00g007330,0,0,0,0,0,0
Solyc00g007340,0,0,0.0192554415649185,0,0,0
Solyc00g007350,0,0,0,0,0,0
Solyc00g500123,0,0,0,0,0,0
Solyc00g500124,0,0,0,0,0,0
Solyc00g500125,0,0,0.0198903471814911,0,0,0
Solyc00g500126,0,0,0,0,0,0
Solyc00g500127,0,0,0,0,0,0
Solyc00g500128,0,0,0,0,0,0
Solyc00g500129,0,0.639369183019173,0.0192604925834486,0,0,0
Solyc00g500130,0,0,0,0,0,0
Solyc00g500131,0,0,0,0,0,0
Solyc00g500132,0,0,0,0,0,0
Solyc00g500133,0,0,0,0,0,0
Solyc00g500134,0,0,0,0,0,0
Solyc00g500135,0,0,0,0,0,0
Solyc00g500136,0,0,0,0,0,0
Solyc00g500137,0,0,0.0187780457538181,0,0,0
Solyc00g500138,0,0,0,0,0,0
Solyc00g500139,0,0,0.00835000542762971,0,0,0
Solyc00g500140,0.0795810596437439,0,7.25672775659047,0.175896231455796,0,0
Solyc00g500141,0,0.278217469528429,0.0302433927110075,0,0,0
Solyc00g500142,0,0,0.0315583228288774,0,0,0
Solyc00g500143,0.110967520928143,0,0.0674392697337328,0,0,0
Solyc00g500144,0,0.104622887846984,0.0275397594474996,0,0,0
Solyc00g500145,0,0.150343632924594,0,0,0,0
Solyc00g500146,0,0,0.00919861947534064,0,0,0
Solyc00g500147,0,0,0,0,0,0
Solyc00g500148,0,0,0.00595513408803594,0,0,0
Solyc00g500149,0,0,0,0,0,0
Solyc00g500150,0,0.150343632924594,0.0179190521207568,0,0,0
Solyc00g500151,0,0,0.00851649911182054,0,0,0
Solyc00g500152,0,5.09083593235635,0.0309928411290424,0,0,0
Solyc00g500153,0,0,0.0434134635776345,0,0,0
Solyc00g500154,0,0,0.020396842801561,0,0,0
Solyc00g500155,0,0,0.0907140625351788,0,0,0
Solyc00g500156,0,0,0,0,0,0
Solyc00g500157,0,0,0.00815635165600036,0,0,0
Solyc00g500158,0,0,0,0,0,0
Solyc00g500159,0,0,0,0,0,0
Solyc00g500160,0,0,0,0,0,0
Solyc00g500161,0,0,0.00180449997343498,0,0,0
Solyc00g500162,0,0,0,0,0,0
Solyc00g500163,0,0,0.00183238223718259,0,0,0
Solyc00g500164,0,0,0,0,0,0
Solyc00g500165,0,0,0,0,0,0
Solyc00g112190,0,0,0,0,0,0
Solyc00g500166,0,0,0,0,0,0
Solyc00g500167,0,0.104622887846984,0,0,0,0
Solyc00g230080,0,0,0,0,0,0
Solyc00g316530,0,0,0,0,0,0
Solyc00g069880,0,0,0,0,0,0
Solyc00g500168,0,0,0,0,0,0
Solyc00g013100,0,0,0,0,0,0
Solyc00g013110,0,0,0,0,0,0
Solyc00g126010,0,0,0,0,0,0
Solyc00g126000,0,0,0,0,0,0
Solyc00g125990,0,0,0.0110159037789998,0,0,0
Solyc00g125980,0,0,0,0,0,0
Solyc00g244300,0,0,0,0,0,0
Solyc00g244290,0,0,0,0,0,0
Solyc00g244280,0,0,0,0,0,0
Solyc00g500169,0,0,0.00451988675761995,0,0,0
Solyc00g500170,0,0.104622887846984,0.0388007633261068,0,0,0
Solyc00g013170,0,0,0.0199305482740765,0,0,0
Solyc00g013180,0,0,0.0209907978481238,0,0,0
Solyc00g500171,0,0,0,0,0,0
Solyc00g500172,0,0,0.0288860160646237,0,0,0
Solyc00g320430,0,0,0.0280423526757505,0,0,0
Solyc00g500173,0,0,0.00858567533267915,0,0,0
Solyc00g019750,0,0,0,0,0,0
Solyc00g019730,0,0,0,0,0,0
Solyc00g500174,0,0,0,0,0.000896613839976017,0
Solyc00g500175,0,0,0,0,0,0
Solyc00g500176,0,0,0,0,0,0
Solyc00g500177,0,0,0,0,0,0
Solyc00g500178,0,0,0,0,0,0
Solyc00g500179,0,0,0,0,0,0
Solyc00g500180,0,0,0,0,0,0
Solyc00g500181,0,0,0,0,0,0
Solyc00g500182,0,0,0,0,0,0
Solyc00g118680,0,0,0,0,0,0
Solyc00g118690,0,0,2.18816957215267,0.270920632357203,0.308313114568619,0
Solyc00g023600,0,0,0.171400765447301,0,0,0
Solyc00g023590,0.318625941454501,0,0.159794823760848,0.0693143787486855,0.0890855400835701,0
Solyc00g023580,0,1.6584541136694,0.224969075663327,0,0,0
Solyc00g023570,0.269359278915139,0,0.111694567713567,0,0,0
Solyc00g014860,0.227893501461771,0.127873836603835,0.228142363034772,0,0.0514091883034832,0.335394966214508
Solyc00g014850,1.27751790608392,0,2.35739231347432,1.15841156486791,3.88260421598721,1.28291822221931
Solyc00g500183,0.113979745737111,0.660276674467752,12.2238797699595,0.231079362892908,0.65241361940133,0.52261339033253
Solyc00g500184,0.848305722956172,0.556434939056857,3.14698683706339,0.573400637462637,0.85639116972481,1.02466153022028
Solyc00g500185,0.664257907641992,0.383621509811503,2.59075686515054,1.59252388628167,1.33497357328131,1.26632701432382
Solyc00g014810,0.327337938463271,0,3.43442403449423,0,0.631343296471985,0.487461154235852
Solyc00g014800,0,1.6584541136694,1.61247795539297,0,0.0740811233783703,0.161562209335038
Solyc00g014790,0.614159222920764,1.30815310367983,1.85654300861041,0.086479496127487,0.592493976877955,0.473128500929835
Solyc00g094550,0,0,0.27319666100772,0,0.105538042864474,0
Solyc00g094540,1.08195585821292,14.3526503546996,2.48078169006268,2.41267705816268,2.82345168581583,3.14564941874935
