apices,coty,In,hypo
Solmam1_01g000030,0.467112144728707,0,1.14061371242251,0.12396989400614
Solmam1_01g000040,0.531672359853815,0,0.93934371348584,0.0846623666383392
Solmam1_01g000050,0.108390663417711,0,0.273088497772195,0
Solmam1_01g000090,0.185172321187275,0,0.632782802826289,0.11570523440573
Solmam1_01g000100,0,0,0.304928868598922,0
Solmam1_01g000160,5.54454530444989,1.3718977315228,3.17702165764201,0.813635122436945
Solmam1_01g000180,115.424342633836,316.639563401664,165.719290455326,483.269950095066
Solmam1_01g000200,27.7172079545452,20.5450620895675,20.8080903025143,41.9265118945854
Solmam1_01g000220,10.1724853084595,0.792985534037172,7.37085578596997,1.68252703463382
Solmam1_01g000230,4.52348421082175,76.0730643946392,26.3294798364075,77.4181540645821
Solmam1_01g000250,10.9119783576075,1.70019260164291,5.53889075793226,8.40396710774378
Solmam1_01g000260,0,0,0.360553038646172,0.207921144500559
Solmam1_01g000280,17.0015252899175,9.84499686210902,17.3030142668559,20.931776292364
Solmam1_01g000290,708.070107620502,875.256784483715,908.36817540375,427.041697427406
Solmam1_01g000300,13.6555523595056,19.0939836323886,13.7237351127251,15.8298268508252
Solmam1_01g000340,67.622063087576,46.0757624126586,73.7590063158959,67.3092086350377
Solmam1_01g000350,0.819888246480697,0.307917275192424,0.504498431059474,0.299209869141436
Solmam1_01g000390,2.4851633164938,11.854284519721,10.6679946767992,2.91096437980262
Solmam1_01g000400,2.05910641432172,0.0247664898485023,0.716066051315317,2.07460298876684
Solmam1_01g000410,20.5531194176642,22.173608885758,33.0707615517356,47.9031131925413
Solmam1_01g000420,31.9440095510473,25.2694414213054,42.6731697826803,40.2744385510773
Solmam1_01g000430,40.780272212694,21.9707743857664,26.1108195160287,64.3436381955554
Solmam1_01g000440,0.44409057371118,0,0.0676922030711617,0
Solmam1_01g000450,0,0.076283338530684,0,0
Solmam1_01g000460,0.0574672720926025,0.646182745954224,0.44480858870579,0.488572028776554
Solmam1_01g000470,0.195211045558266,0,0,0
Solmam1_01g000500,0.0391209129268891,0.0405685698407487,0,0.0488895356643932
Solmam1_01g000530,10.2576511461092,19.808687822744,12.4112061922923,0.706349716579005
Solmam1_01g000540,3.13509457302107,14.2477642805061,1.88691251271169,4.12477573909512
Solmam1_01g000550,21.1726851505856,57.4884224672653,6.17913857401201,5.24864822873361
Solmam1_01g000580,0.0454136807375132,0.0233524684359589,0,0
Solmam1_01g000590,0,0.235294842316834,0,0.0910799221269598
Solmam1_01g000610,1.7714861334593,0.146591659911511,0.593448888348409,0.25923117788571
Solmam1_01g000630,0,0,0.809835927905035,0
Solmam1_01g000640,0.223575043630834,0,0.0674029201520542,0
Solmam1_01g000650,0.240367916925789,0.726952254872405,0.340120263317805,0.301065705975868
Solmam1_01g000660,0,0.575201009359701,0,0
Solmam1_01g000690,1.39026779497088,0.850501198134454,2.23219814512846,1.32902085626281
Solmam1_01g000700,0,0.501383974408866,0,0.0610425680994202
Solmam1_01g000710,0,0.281011556945675,0.127605934408489,0
Solmam1_01g000720,1.68335101286406,0.661301359530434,1.14817021006509,0.185097427450496
Solmam1_01g000730,0.187308872539412,0.191681520362161,0.711631884260356,0.280750642643776
Solmam1_01g000740,0.376357883209419,0.241738725281387,1.52858855361679,0.172452170481239
