Setu-1_S15,Setu-2_S16,Setu-3_S17,Setu-4_S18,Setu1_1_S7,Setu1_2_S8,Setu1_3_S9
Soletu1_01g000010,0,0,0,0,0,0,0
Soletu1_01g000020,89.9638247159318,108.780097561311,114.171959755851,76.90362831837,122.133890577254,113.346824433761,106.677773876853
Soletu1_01g000030,1.58632564446231,1.50760394042988,0.453667129574128,2.52956976653694,3.47115122557601,1.94091517069491,2.61426939772136
Soletu1_01g000040,24.6788516789758,25.3412753404889,25.4405629872221,19.1959585603223,25.2007182279925,22.9566478617535,25.3009678533261
Soletu1_01g000050,0,0.383985590090694,0.485304442557587,0,1.59137929307893,0,0.0682092753641677
Soletu1_01g000060,72.9284887797894,78.0237386531508,86.0606544802122,111.574447710207,123.114554060164,138.846136704417,83.7344643178897
Soletu1_01g000070,46.112738288911,47.0928704500715,52.9431095643166,40.8370129438629,84.9608608187632,72.675435054272,73.8425040212148
Soletu1_01g000080,19.117031668673,17.2599281584735,19.1352205625819,14.0036785421807,21.2032542386971,17.6967470877004,22.6451255465827
Soletu1_01g000090,9.68486912806499,11.3158202467543,10.6406825642775,10.3137018232159,13.3884501564909,13.5904437934969,12.4884982348576
Soletu1_01g000100,12.0976696640256,12.2006860588168,14.4284441081872,15.1321325587894,20.8488512808364,19.2262393635128,22.3887027189302
Soletu1_01g000110,0,0.118750375775759,0,0,0,0,0
Soletu1_01g000120,12.0506070811157,10.7739212661494,10.4001870655074,9.71476121458173,11.9099011338131,17.8814682145157,13.0049707923983
Soletu1_01g000130,1.50450304066732,1.36333752881083,1.61800404378123,1.46456360931102,0.892888975246013,0.500638904982474,0.629068081239223
Soletu1_01g000140,0,0,0,0,0,0,0
Soletu1_01g000150,21.0056496471676,22.9729655648516,26.3863700047499,28.022374083917,35.5650419297887,31.8560694581373,33.7224520295212
Soletu1_01g000160,0,0,0,0,0,0,0
Soletu1_01g000170,0,0,0,0,0,0,0
Soletu1_01g000180,0,0,0,0,0,0,0
Soletu1_01g000190,16.16143795674,16.5540454394655,17.7944962271115,16.5365076185233,23.9443643634561,22.6966672575224,22.5696913371657
Soletu1_01g000200,32.650196175895,24.2328931386856,23.9040081883555,28.9607720881825,18.6010080915074,17.7495537491249,16.6409910083395
Soletu1_01g000210,24.9470113638332,29.4851443677467,32.1719428387313,29.5819939613713,39.9438033839328,46.1462301588373,47.0786854881759
Soletu1_01g000220,2.22267455140689,1.56131985018781,0.928607713847406,0.404512238433228,33.7966725399804,25.7372500550225,24.0637600891367
Soletu1_01g000230,2.47050227795204,2.50102726278574,3.48349703936395,2.13567250676083,4.28357277140091,5.24708603665656,4.83256900122729
Soletu1_01g000240,1.06659581396401,2.29408575578864,2.09026922607985,1.87983566745387,6.42127848209758,2.78975348886859,5.40187533597028
Soletu1_01g000250,0,0.206421961781735,0,0,0.445567441327728,0.0668356246139006,0.44001315035983
Soletu1_01g000260,3.87593136633896,4.57272937753271,2.72911138099849,3.07697802259791,2.43468910344828,2.63211635040946,3.58755553210273
Soletu1_01g000270,0.0705496430047239,0,0,1.18124079275964,0.0463123975776368,0.0868364060176009,0.142922134709066
Soletu1_01g000280,0,0,0,0,0,0,0
Soletu1_01g000290,0.44502510315661,0,0,0,0,0,0
Soletu1_01g000300,0.0685035853157971,0,0.0822825156372039,0.430118562505828,0.415965660172704,0.231874513614483,0.231295256114969
Soletu1_01g000310,0.137390300303383,0,0,0,0.450950135249808,0.486184312942225,0.115971027464804
Soletu1_01g000320,21.1705386099986,28.8505664414341,32.2855165996205,23.894857898536,76.41722710664,73.2877617823062,84.6592783818185
Soletu1_01g000330,1.04137065638253,0.260445380159685,0.460833491192569,1.60595510278466,0.431753061219093,0.354175127221052,0.314596639966103
Soletu1_01g000340,0,0,0,0,0,0,0
Soletu1_01g000350,0,0,0,0.251287905693369,0.0985213638595622,0,0.0405388459642365
