Smur2-1_S12,Smur2-3_S22
Solmur2hap1_01g000010,0,0
Solmur2hap1_01g000020,7.74676823208539,7.60695759923884
Solmur2hap1_01g000030,18.1500561021073,18.6897535022497
Solmur2hap1_01g000040,44.2033871845136,25.8861724168697
Solmur2hap1_01g000050,12.8372769490007,7.43470948087799
Solmur2hap1_01g000060,2.95817526539166,3.83278317236459
Solmur2hap1_01g000070,0.436143793225383,0.0337981385227732
Solmur2hap1_01g000080,0.583364068499865,0.908243606910492
Solmur2hap1_01g000090,0,0
Solmur2hap1_01g000100,0,0
Solmur2hap1_01g000110,0,0
Solmur2hap1_01g000120,0.157437451641725,0.23790619331808
Solmur2hap1_01g000130,0.25120940748798,0.337427965415663
Solmur2hap1_01g000140,2.85834278291932,0.685601022885912
Solmur2hap1_01g000150,54.7651669522949,26.3968064518677
Solmur2hap1_01g000160,0,0.128165664340467
Solmur2hap1_01g000170,0,0.0666591752380757
Solmur2hap1_01g000180,0,0
Solmur2hap1_01g000190,0.0254604129210791,0
Solmur2hap1_01g000200,1.70712378373219,0.737046121537497
Solmur2hap1_01g000210,0,0.0332068267069972
Solmur2hap1_01g000220,32.7260996928114,37.0842175942749
Solmur2hap1_01g000230,70.6720692637899,93.1617523264807
Solmur2hap1_01g000240,11.2695331414747,17.497045956658
Solmur2hap1_01g000250,10.5142462047992,12.7475427892527
Solmur2hap1_01g000260,50.4529599416472,103.150048888321
Solmur2hap1_01g000270,5.40732661961101,10.5147433690234
Solmur2hap1_01g000280,0,0.0380407318605474
Solmur2hap1_01g000290,0,0.129815024491717
Solmur2hap1_01g000300,88.8789075425012,54.0054925398844
Solmur2hap1_01g000310,0,0
Solmur2hap1_01g000320,6.81413631810096,8.16922259293637
Solmur2hap1_01g000330,73.8789906391756,81.1371693856572
Solmur2hap1_01g000340,14.1367294911512,14.3522556911126
Solmur2hap1_01g000350,5.29596731490186,3.48072696524009
Solmur2hap1_01g000360,28.740979105128,24.9289715583417
Solmur2hap1_01g000370,3.51550842206975,1.77077990349155
Solmur2hap1_01g000380,0.0117099576601365,0
Solmur2hap1_01g000390,0,0
Solmur2hap1_01g000400,6.38533829673735,8.89147089652895
Solmur2hap1_01g000410,3.26104137670732,4.92781058188557
Solmur2hap1_01g000420,0.0354780382230299,0.357409452961338
Solmur2hap1_01g000430,0.109471989501643,0.385991279245555
Solmur2hap1_01g000440,0.0806246409167504,0.162444206323419
Solmur2hap1_01g000450,0,0
Solmur2hap1_01g000460,0.988270138353788,1.05090438998801
Solmur2hap1_01g000470,0.0589742019226313,0.950579606030945
Solmur2hap1_01g000480,19.1582455429738,26.0179709288201
Solmur2hap1_01g000490,203.940323449435,253.18411710672
Solmur2hap1_01g000500,6.5763440136729,7.99578315106855
Solmur2hap1_01g000510,52.9132701676031,44.1583026168967
Solmur2hap1_01g000520,62.1304527375837,37.8410440735754
Solmur2hap1_01g000530,12.4949593955155,15.2642156722198
Solmur2hap1_01g000540,18.2771247546875,17.8518909128259
Solmur2hap1_01g000550,1.3125691541247,3.21892219507983
Solmur2hap1_01g000560,11.1576126442713,21.7142066587219
