Species,Sample,Tissue,Tissue.Name,Sample.Name,Sample.ID,total_reads,pct_unique,pct_multimapped,pct_unmapped,exclusion_status
abutiloides,Sabu2,apices,apices_1,Sabu2_apices_2_S11,Sabu2-2_S11,46869976,86.451,2.5499,10.9991,no
abutiloides,Sabu2,apices,apices_2,Sabu2_apices_3_S17,Sabu2-3_S17,42814613,83.9052,2.3203,13.7745,no
aethiopicum,Saet3,apices,apices_1,Saet3_apices_1_S1,Saet3-1_S1,31885899,86.6553,3.1616,10.1831,no
aethiopicum,Saet3,apices,apices_2,Saet3_apices_2_S2,Saet3-2_S2,31235923,86.6993,3.2294,10.0714,no
aethiopicum,Saet3,apices,apices_3,Saet3_apices_3_S3,Saet3-3_S3,31476966,86.9088,3.1645,9.9267,no
aethiopicum,Saet3,apices,apices_4,Saet3_apices_4_S4,Saet3-4_S4,32822644,86.0517,3.0817,10.8666,no
aethiopicum,Saet3,apices,apices_5,Saet3_apices_5_S5,Saet3-5_S5,32367734,87.3229,3.1657,9.5114,no
aethiopicum,Saet3,apices,apices_6,Saet3_apices_6_S6,Saet3-6_S6,31619705,88.0863,3.2824,8.6314,no
aethiopicum,Saet3,coty,coty_1,Saet_coty_1_S1,Saet-1_S1,14892027,83.5215,7.244,9.2345,no
aethiopicum,Saet3,coty,coty_2,Saet_coty_2_S2,Saet-2_S2,11070506,82.5682,8.044,9.3878,no
aethiopicum,Saet3,coty,coty_3,Saet_coty_3_S3,Saet-3_S3,14040642,83.1651,7.6279,9.2071,no
aethiopicum,Saet3,coty,coty_4,Saet_coty_4_S4,Saet-4_S4,16278956,83.5724,7.3252,9.1023,no
aethiopicum,Saet3,In,In_1,Saet_flow_1_S3,Saet-1_S3,10512242,84.8172,4.1668,11.016,no
aethiopicum,Saet3,In,In_2,Saet_flow_2_S4,Saet-2_S4,10227822,84.669,4.1646,11.1664,no
aethiopicum,Saet3,In,In_3,Saet_flow_3_S5,Saet-3_S5,17022897,84.2901,4.3317,11.3782,no
aethiopicum,Saet3,In,In_4,Saet_flow_4_S6,Saet-4_S6,10073253,84.9355,4.186,10.8785,no
aethiopicum,Saet3,hypo,hypo_1,Saet_hypo_1_S53,Saet-1_S53,11235831,87.1895,3.1487,9.6618,no
aethiopicum,Saet3,hypo,hypo_2,Saet_hypo_2_S54,Saet-2_S54,13996607,89.6211,2.9723,7.4066,no
aethiopicum,Saet3,hypo,hypo_3,Saet_hypo_3_S55,Saet-3_S55,13168635,87.4393,2.9868,9.5739,no
aethiopicum,Saet3,hypo,hypo_4,Saet_hypo_4_S56,Saet-4_S56,13959450,90.4187,2.9819,6.5994,no
aethiopicum,Saet3,leaves,leaves_1,Saet_leaves_1_S56,Saet-1_S56,13598450,85.955,6.2553,7.7898,no
aethiopicum,Saet3,leaves,leaves_2,Saet_leaves_2_S57,Saet-2_S57,14482901,87.3816,6.0679,6.5505,no
aethiopicum,Saet3,leaves,leaves_3,Saet_leaves_3_S58,Saet-3_S58,9607669,86.3907,5.8479,7.7615,no
americanum,Same3,RNA,apices_1,SP2273_RNA_pool_apices_,SP2273_RNA_pool,100757079,87.422,5.3897,7.1883,no
americanum,Same3,S194,apices_2,MgCl2_S194_L003_apices_,MgCl2_S194_L003,32335920,86.3835,6.1898,7.4267,no
americanum,Same3,S195,apices_3,EV_S195_L003_apices_,EV_S195_L003,34809470,87.8052,5.4561,6.7388,no
americanum,Same3,S196,apices_4,AvrRps4_S196_L003_apices_,AvrRps4_S196_L003,33611689,88.0243,4.5513,7.4244,no
americanum,Same3,apices,apices_5,Same3_apices_1_S13,Same3-1_S13,42448269,72.7831,5.8673,21.3496,no
americanum,Same3,apices,apices_6,Same3_apices_2_S14,Same3-2_S14,46517279,76.267,5.528,18.205,no
americanum,Same3,apices,apices_7,Same3_apices_3_S18,Same3-3_S18,35637821,77.2032,5.4546,17.3422,no
americanum,Same3,coty,coty_1,Same_coty_1_S5,Same-1_S5,14747245,82.9484,7.9236,9.128,no
americanum,Same3,coty,coty_2,Same_coty_2_S6,Same-2_S6,14621575,82.7043,7.5085,9.7872,no
americanum,Same3,coty,coty_3,Same_coty_3_S7,Same-3_S7,13573865,82.9411,7.6464,9.4124,no
americanum,Same3,coty,coty_4,Same_coty_4_S8,Same-4_S8,15057265,82.3984,7.5238,10.0777,no
americanum,Same3,hypo,hypo_1,Same_hypo_1_S57,Same-1_S57,13544826,75.7054,4.2913,20.0033,no
americanum,Same3,hypo,hypo_2,Same_hypo_2_S58,Same-2_S58,14919198,74.7532,4.8719,20.375,no
americanum,Same3,hypo,hypo_3,Same_hypo_3_S59,Same-3_S59,12532881,81.5417,4.8744,13.5838,no
americanum,Same3,hypo,hypo_4,Same_hypo_4_S60,Same-4_S60,14260787,84.3369,5.1865,10.4766,no
anguivi,Sang8,coty,coty_1,Sang_coty_1_S49,Sang-1_S49,15209048,86.2745,6.9288,6.7967,no
anguivi,Sang8,coty,coty_2,Sang_coty_2_S50,Sang-2_S50,14176166,86.7865,6.6869,6.5266,no
anguivi,Sang8,coty,coty_3,Sang_coty_3_S51,Sang-3_S51,16466766,88.3943,6.2118,5.394,no
anguivi,Sang8,coty,coty_4,Sang_coty_4_S52,Sang-4_S52,12416427,86.9292,6.2497,6.8211,no
anguivi,Sang8,In,In_1,Sang_flow_1_S52,Sang-1_S52,9989632,54.9264,5.0333,40.0403,no
anguivi,Sang8,In,In_2,Sang_flow_2_S53,Sang-2_S53,13394543,74.6527,4.4999,20.8473,no
anguivi,Sang8,In,In_3,Sang_flow_3_S54,Sang-3_S54,10072732,71.0549,5.0119,23.9332,no
anguivi,Sang8,In,In_4,Sang_flow_4_S55,Sang-4_S55,13528377,66.6539,4.2916,29.0545,no
anguivi,Sang8,hypo,hypo_1,Sang_hypo_1_S95,Sang-1_S95,14302602,88.6771,3.3391,7.9838,no
anguivi,Sang8,hypo,hypo_2,Sang_hypo_2_S96,Sang-2_S96,13605734,89.5725,3.2671,7.1605,no
anguivi,Sang8,leaves,leaves_1,Sang_leaves_1_S71,Sang-1_S71,12762672,83.5026,7.9219,8.5755,no
anguivi,Sang8,leaves,leaves_2,Sang_leaves_2_S72,Sang-2_S72,7263904,76.0665,8.9497,14.9837,no
anguivi,Sang8,leaves,leaves_3,Sang_leaves_3_S73,Sang-3_S73,8878274,82.1504,8.1084,9.7412,no
candidum,Scan1,apices,apices_1,Scan1_apices_1_S2,Scan1-1_S2,43718616,87.0186,1.8842,11.0972,no
