species,dataset,OG,Gene1,Gene2,exp_sum,exp_log2FC
Slyc4,Slyc4_flower,OG0000105,Solyc08g016583,Solyc08g016587,1.32967420831126,0.329461767572771
Slyc4,Slyc4_flower,OG0000105,Solyc08g016583,Solyc08g016587,0.824694434012963,2.13681668963037
Spri1,Spri1_flower,OG0000105,Solpri1_08g015440,Solpri1_09g016670,7.81036008781494,1.86698568854992
Spri1,Spri1_flower,OG0000105,Solpri1_08g015440,Solpri1_09g016670,3.94601134353182,0.814518268655782
Slyc4,Slyc4_flower,OG0000261,Solyc11g067270,Solyc11g067330,0.546113912535108,2.01000717335539
Slyc4,Slyc4_flower,OG0000261,Solyc11g067270,Solyc11g067330,0.905898003336056,1.59496967407654
Spri1,Spri1_flower,OG0000261,Solpri1_10g002450,Solpri1_10g002510,0.504589890413598,0.783653954730471
Slyc4,Slyc4_flower,OG0000275,Solyc07g052700,Solyc07g052720,22.9265224047766,0.825526625751249
Slyc4,Slyc4_flower,OG0000275,Solyc07g052700,Solyc07g052720,29.589600035629,0.446668242481209
Spri1,Spri1_flower,OG0000275,Solpri1_06g017380,Solpri1_07g021640,0.491973201179746,0.674160393342245
Slyc4,Slyc4_flower,OG0000302,Solyc01g150118,Solyc11g061985,0.62426075557574,2.48523383739791
Slyc4,Slyc4_flower,OG0000302,Solyc01g150118,Solyc11g061985,1.19675238869323,3.48523383739792
Spri1,Spri1_flower,OG0000302,Solpri1_01g017490,Solpri1_10g025750,7.61936758415521,3.23499245811608
Spri1,Spri1_flower,OG0000302,Solpri1_01g017490,Solpri1_10g025750,6.7284987905894,4.02158882000689
Slyc4,Slyc4_flower,OG0000392,Solyc03g059123,Solyc04g024965,0.365566514515891,0.880388549684429
Spri1,Spri1_flower,OG0000392,Solpri1_06g009820,Solpri1_07g021270,1.10131423325312,0.844623307126843
Slyc4,Slyc4_flower,OG0000428,Solyc05g005930,Solyc11g007470,6.78211506628595,5.91776920493459
