species,dataset,OG,Gene1,Gene2,exp_sum,exp_log2FC
Slyc4,Slyc4_fruit,OG0000358,Solyc06g048905,Solyc10g075114,0.223049189500215,0.683863185247343
Spri1,Spri1_fruit,OG0000358,Solpri1_07g014650,Solpri1_07g015440,1.8652586749268,1.01999465991309
Slyc4,Slyc4_fruit,OG0000381,Solyc11g043070,Solyc11g071400,1.28697716987766,1.11308864892584
Spri1,Spri1_fruit,OG0000381,Solpri1_01g007330,Solpri1_06g017250,2.4022645637597,2.54114626842867
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,1.46067576935595,2.5315419115025
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,2.10098291959385,3.70146691294482
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,7.52721708459099,3.82991454757149
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,9.72909740140358,4.19031679027349
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,6.96934602531309,3.8778490246352
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,5.34420629450234,3.11231427827222
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,2.92541794018773,4.2054236826637
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,2.30209027988903,2.72898563872071
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,0.636957052848208,0.205423682663701
Slyc4,Slyc4_fruit,OG0000395,Solyc04g026110,Solyc07g039420,1.04017827084356,2.01277860472131
Spri1,Spri1_fruit,OG0000395,Solpri1_01g010550,Solpri1_04g004900,0.908383006404531,0.922218879089605
Slyc4,Slyc4_fruit,OG0000422,Solyc01g094080,Solyc01g094120,41.2053516768966,7.91424151668273
Slyc4,Slyc4_fruit,OG0000422,Solyc01g094080,Solyc01g094120,55.9696465712165,8.90562838637802
Spri1,Spri1_fruit,OG0000422,Solpri1_01g027610,Solpri1_01g027620,5.04857110046291,0.699558216428768
Spri1,Spri1_fruit,OG0000422,Solpri1_01g027610,Solpri1_01g027620,1.64831999974048,0.307240793650016
Spri1,Spri1_fruit,OG0000422,Solpri1_01g027610,Solpri1_01g027620,7.97793021632623,3.19525954687917
Spri1,Spri1_fruit,OG0000422,Solpri1_01g027610,Solpri1_01g027620,9.07067577898043,0.605296365099651
Slyc4,Slyc4_fruit,OG0000505,Solyc07g047740,Solyc07g049240,0.222221669533331,0.203461961161557
Slyc4,Slyc4_fruit,OG0000505,Solyc07g047740,Solyc07g049240,0.856748479235539,2.38150053955961
Spri1,Spri1_fruit,OG0000505,Solpri1_03g014520,Solpri1_07g020090,1.03447600579042,2.59871347098096
Slyc4,Slyc4_fruit,OG0000530,Solyc11g005230,Solyc11g005240,0.336872637475078,0.0405467916603314
Spri1,Spri1_fruit,OG0000530,Solpri1_04g022560,Solpri1_04g022570,1.86210128002593,0.619863744720529
Spri1,Spri1_fruit,OG0000530,Solpri1_04g022560,Solpri1_04g022570,2.14051785998762,2.52675434032904
Slyc4,Slyc4_fruit,OG0000553,Solyc08g007250,Solyc08g013970,0.739104534233609,2.19361438877004
Slyc4,Slyc4_fruit,OG0000553,Solyc08g007250,Solyc08g013970,0.54117322640552,0.734182770132744
Slyc4,Slyc4_fruit,OG0000553,Solyc08g007250,Solyc08g013970,1.14354927521211,2.43462248827383
Slyc4,Slyc4_fruit,OG0000553,Solyc08g007250,Solyc08g013970,1.26019636524308,2.90410777157506
Slyc4,Slyc4_fruit,OG0000553,Solyc08g007250,Solyc08g013970,1.21825864226983,1.23668311066192
Slyc4,Slyc4_fruit,OG0000553,Solyc08g007250,Solyc08g013970,0.636142785314008,1.3191452708539
Slyc4,Slyc4_fruit,OG0000553,Solyc08g007250,Solyc08g013970,0.910602706987059,2.73418277013274
Slyc4,Slyc4_fruit,OG0000553,Solyc08g007250,Solyc08g013970,1.46491232870878,4.05611086502011
