species,Gene1,Gene2,Orthogroup,Gene_family_size,Gene1_exp,Gene2_exp,num_shared_tissue,coexpression,log2FC_mean,log2FC_sd,Gene1_tau,Gene2_tau,Gene1_tissue,Gene2_tissue,sequence_similarity,duplication_mode,Ks,Ka.Ks,pseudogene,domestication_status,dosage_category,retention_category
Setu1,Soletu1_04g005750,Soletu1_04g005770,OG0000342,4,3.876160824,9.449461981,2,0.908215998,1.345894026,0.540600521,0.252616622,0.302007013,NA,NA,60.084,proximal,0.356652,0.581192,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_07g019460,Soletu1_07g019470,OG0000509,2,35.74308593,604.4245185,2,0.976333134,4.095296695,0.16737057,0.272096676,0.242070604,NA,NA,84.545,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_04g013020,Soletu1_04g022840,OG0000581,3,14.42966996,35.26226676,2,0.947236369,1.492341821,0.886406241,0.448131909,0.255593042,NA,NA,81.053,dispersed,0.0851993,0.889491,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_03g007100,Soletu1_04g029950,OG0000594,2,5.355306897,22.36983961,1,0.984197124,1.873541272,0.662376789,0.922821634,0.947160471,apices,apices,71.429,dispersed,0.0877194,0.496244,TRUE,wild,constrained,transcriptional_drift
Setu1,Soletu1_02g005880,Soletu1_02g005900,OG0000638,5,3.213753335,13.37645751,1,0.948322349,2.223948522,0.525798756,0.743401812,0.57665161,NA,NA,72.176,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_06g004520,Soletu1_06g004530,OG0000660,2,5.164833445,14.96238011,1,0.958395746,1.781359356,0.730703591,0.723823848,0.539797034,In,NA,85.455,tandem,0.165549,0.440787,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_04g003080,Soletu1_08g013320,OG0000748,2,46.74249767,19.1260154,2,0.917652786,1.361471368,0.418168303,0.164256216,0.500527337,NA,NA,98.851,dispersed,0.50468,0.0103325,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_03g030040,Soletu1_06g017300,OG0000847,3,708.7933238,177.0220214,2,0.974910126,1.988804007,0.149052961,0.222983691,0.069481855,NA,NA,93.007,WGD,0.89748,0.0344888,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_06g022440,Soletu1_08g004530,OG0000859,3,1609.282521,63.25128554,2,0.983860096,4.676164557,0.125269936,0.14331035,0.235320199,NA,NA,92.784,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_04g018750,Soletu1_06g004330,OG0000988,2,191.6994676,434.3480035,2,0.989252546,1.171914399,0.102219184,0.114798242,0.16481383,NA,NA,100,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_03g019870,Soletu1_06g021040,OG0001121,2,642.9106638,314.9872292,2,0.924618035,1.025315843,0.144722191,0.057078455,0.088578051,NA,NA,93.064,WGD,0.793476,0.0501417,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_06g002070,Soletu1_06g026820,OG0001179,2,51.73148094,110.9303274,2,0.96034302,1.168458358,0.298195286,0.520884437,0.336111805,NA,NA,98.611,WGD,0.568808,0.0109856,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_02g030690,Soletu1_07g004900,OG0001252,3,65.54635052,305.9756191,2,0.929561114,2.351490538,0.736091568,0.226344829,0.164846511,NA,NA,97.727,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_01g002820,Soletu1_02g025890,OG0001291,2,31.19813848,3.753534951,1,0.904021869,3.518978063,0.992726975,0.047337394,0.653968047,NA,NA,96.685,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_01g034390,Soletu1_01g034400,OG0001338,2,16.45980489,39.30716949,2,0.992210905,1.235503577,0.188647877,0.113775902,0.273245385,NA,NA,91.776,tandem,0.163659,0.233076,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_06g013910,Soletu1_06g013920,OG0001519,2,14.98767264,166.7838578,2,0.935627621,3.409086977,0.341153401,0.434493031,0.574827206,NA,NA,100,tandem,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_04g025510,Soletu1_04g025800,OG0001593,2,2.282974068,8.849183822,1,0.972663271,2.196136894,0.765673498,0.680221274,0.484060413,NA,NA,87.778,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_05g006890,Soletu1_05g006900,OG0001652,2,461.5923087,83.62642419,2,0.986593769,2.456007,0.210995239,0.163894863,0.08400907,NA,NA,80.472,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_03g019540,Soletu1_06g021140,OG0001685,2,35.23135779,1618.832951,2,0.943266926,5.529659346,0.124955806,0.198796677,0.072422039,NA,NA,98.551,WGD,1.33595,0.00441157,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_01g029720,Soletu1_01g029730,OG0001693,2,364.1121529,1779.620307,2,0.917053625,2.338445213,0.331359282,0.280787306,0.226350664,NA,NA,93.617,tandem,0.261924,0.150947,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_06g014290,Soletu1_08g000210,OG0001721,2,51.5165584,8.842092406,2,0.970491312,2.565607123,0.231855451,0.348756511,0.459070426,NA,NA,85,WGD,0.944139,0.0842143,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_01g024850,Soletu1_05g019490,OG0001747,2,14.19378976,33.42212402,2,0.90679299,1.251371897,0.216172125,0.200670943,0.064163917,NA,NA,93.934,WGD,0.780914,0.0360447,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_02g013860,Soletu1_04g002200,OG0001756,2,7.181390139,31.98435432,2,0.945139305,2.110072532,0.214461267,0.343982417,0.493967387,NA,NA,63.444,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_03g007250,Soletu1_05g017160,OG0001791,2,2515.225753,215.1370574,2,0.976071001,3.566032106,0.167834525,0.189213869,0.32597655,NA,NA,90.598,WGD,0.677199,0.18625,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_01g015310,Soletu1_05g015470,OG0001828,3,15.2795,48.24617847,2,0.978505093,1.668618067,0.108387225,0.196508093,0.111846737,NA,NA,92.872,WGD,0.594703,0.0356979,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_02g019730,Soletu1_02g019740,OG0001870,2,101.5427395,14.7355715,2,0.943866087,2.999724433,0.593577067,0.410488765,0.702574759,NA,apices,90.634,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_08g009350,Soletu1_08g009430,OG0001907,2,429.4189353,1116.137458,2,0.999513182,1.743418662,0.596998907,0.865579045,0.76101255,apices,apices,91.772,proximal,0.226717,0.131894,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_01g004140,Soletu1_06g022660,OG0001961,2,554.638734,212.1743223,2,0.988204014,1.4977558,0.311304041,0.445680106,0.621100466,NA,NA,87.199,WGD,1.5072,0.0424363,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_03g023730,Soletu1_06g019530,OG0002051,2,18.15394112,4.21389445,1,0.952816058,1.805568954,0.846411705,0.867073765,0.685544471,In,NA,79.681,WGD,2.08911,0.0514594,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_02g008100,Soletu1_06g016210,OG0002080,2,24.0328641,80.77899081,2,0.944615039,1.743541988,0.108884092,0.224259451,0.199171245,NA,NA,82.308,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_06g023940,Soletu1_06g023950,OG0002084,2,1899.446042,4682.771617,2,0.960829838,1.257282692,0.254760961,0.223406082,0.398579367,NA,NA,92.361,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_03g006960,Soletu1_06g011000,OG0002091,2,29.85104715,144.0526964,2,0.953714799,2.291916439,0.284536459,0.006961769,0.064747087,NA,NA,67.82,NA,NA,NA,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_06g017970,Soletu1_08g011950,OG0002158,2,132.3625748,16.0866013,2,0.975322049,3.046256556,0.11943732,0.03736534,0.116696363,NA,NA,94.857,transposed,2.5555,0.0134072,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_02g002380,Soletu1_08g010740,OG0002162,2,71.39464961,148.3964512,2,0.939671959,1.025212325,0.241246014,0.165045191,0.364087763,NA,NA,88.55,WGD,0.569987,0.090069,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_06g024050,Soletu1_06g024060,OG0002278,2,111.8682655,33.74489014,2,0.967195926,1.71410779,0.215154227,0.356379653,0.380821942,NA,NA,80.476,tandem,0.125786,0.664533,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_02g002820,Soletu1_06g007650,OG0002292,2,8.920952329,186.7519452,2,0.921659676,4.474994527,0.388808677,0.577929973,0.381577574,NA,NA,47.514,transposed,0.839128,0.325554,FALSE,wild,constrained,transcriptional_drift
Setu1,Soletu1_04g005220,Soletu1_05g002700,OG0002307,2,12.01893867,122.4560426,2,0.974273517,3.429806063,0.381640628,0.511187202,0.282279085,NA,NA,79.437,WGD,1.07632,0.104272,FALSE,wild,constrained,transcriptional_drift
