species,dataset,OG,Gene1,Gene2,exp_sum,exp_log2FC
Slyc4,Slyc4_root,OG0000040,Solyc01g106250,Solyc01g108950,1.39915713458208,3.03355255971102
Spri1,Spri1_root,OG0000040,Solpri1_01g038800,Solpri1_06g006070,0.388945699948436,0.123976532814216
Spri1,Spri1_root,OG0000040,Solpri1_01g038800,Solpri1_06g006070,3.20256541291235,0.708939033535363
Spri1,Spri1_root,OG0000040,Solpri1_01g038800,Solpri1_06g006070,0.628481609632254,0.708939033535372
Slyc4,Slyc4_root,OG0000081,Solyc01g057260,Solyc04g008900,0.398668946929955,1.59210456996518
Slyc4,Slyc4_root,OG0000081,Solyc01g057260,Solyc04g008900,0.393023348609017,1.57782043147713
Spri1,Spri1_root,OG0000081,Solpri1_04g005320,Solpri1_04g005370,5.96816362295576,4.23815973719476
Spri1,Spri1_root,OG0000081,Solpri1_04g005320,Solpri1_04g005370,7.66198933395275,6.00000000000001
Slyc4,Slyc4_root,OG0000283,Solyc09g066050,Solyc11g011940,0.326029835316718,0.401243699762469
Spri1,Spri1_root,OG0000283,Solpri1_04g013000,Solpri1_04g029520,0.616997746768996,2.83705391857271
Spri1,Spri1_root,OG0000283,Solpri1_04g013000,Solpri1_04g029520,0.715639571005053,1.16294608142729
Spri1,Spri1_root,OG0000283,Solpri1_04g013000,Solpri1_04g029520,0.27051028912002,0.837053918572708
Slyc4,Slyc4_root,OG0000322,Solyc01g105550,Solyc01g105590,6.23596300730658,1.7613853692051
Slyc4,Slyc4_root,OG0000322,Solyc01g105550,Solyc01g105590,5.38071028818079,1.04713985153898
Spri1,Spri1_root,OG0000322,Solpri1_01g038190,Solpri1_07g024590,6.48347382114655,2.8911288937928
Spri1,Spri1_root,OG0000322,Solpri1_01g038190,Solpri1_07g024590,7.40174582962603,5.32925000618468
Spri1,Spri1_root,OG0000322,Solpri1_01g038190,Solpri1_07g024590,10.6683026555333,2.40725251818595
Spri1,Spri1_root,OG0000322,Solpri1_01g038190,Solpri1_07g024590,2.72594940264536,2.74428750546352
Slyc4,Slyc4_root,OG0000387,Solyc03g083996,Solyc03g083998,24.6280819829568,1.61734516446551
Slyc4,Slyc4_root,OG0000387,Solyc03g083996,Solyc03g083998,25.5183490464525,1.70714183481616
Spri1,Spri1_root,OG0000387,Solpri1_03g017640,Solpri1_03g017660,21.3333291649642,1.1978693149627
Spri1,Spri1_root,OG0000387,Solpri1_03g017640,Solpri1_03g017660,26.3749628021664,0.00670182928649916
Spri1,Spri1_root,OG0000387,Solpri1_03g017640,Solpri1_03g017660,15.9891768899636,0.684773734399146
Spri1,Spri1_root,OG0000387,Solpri1_03g017640,Solpri1_03g017660,11.2065125196254,0.0351183464081246
Slyc4,Slyc4_root,OG0000395,Solyc04g026110,Solyc07g039420,26.2985624666127,2.64468088685324
Slyc4,Slyc4_root,OG0000395,Solyc04g026110,Solyc07g039420,26.3675686875399,2.50029097751806
Spri1,Spri1_root,OG0000395,Solpri1_01g009490,Solpri1_01g010550,9.33540576252402,0.828233651733519
Spri1,Spri1_root,OG0000395,Solpri1_01g009490,Solpri1_01g010550,9.40332477534548,0.845322772256627
Spri1,Spri1_root,OG0000395,Solpri1_01g009490,Solpri1_01g010550,9.82714139503232,0.408258966647778
Spri1,Spri1_root,OG0000395,Solpri1_01g009490,Solpri1_01g010550,2.49569811332014,2.70781924850669
Slyc4,Slyc4_root,OG0000398,Solyc07g055650,Solyc07g055670,50.6116732094159,4.64317711466645
Slyc4,Slyc4_root,OG0000398,Solyc07g055650,Solyc07g055670,54.8906513179905,4.34976905978914
