species,Gene1,Gene2,Orthogroup,Gene_family_size,Gene1_exp,Gene2_exp,num_shared_tissue,coexpression,log2FC_mean,log2FC_sd,Gene1_tau,Gene2_tau,Gene1_tissue,Gene2_tissue,sequence_similarity,duplication_mode,Ks,Ka.Ks,pseudogene,domestication_status,dosage_category,retention_category
Shav1,Solhav1_01g006110,Solhav1_01g008350,OG0000000,74,0,0.21895326653516,NA,NA,NA,NA,NA,NA,NA,NA,93.939,dispersed,0.225757,0.122727,TRUE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_01g015090,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_02g000290,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,93.75,dispersed,0.185369,0.167576,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_02g001120,OG0000000,74,0,0.463320407541633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_02g001510,OG0000000,74,0,1.13955462756399,NA,NA,NA,NA,NA,NA,NA,NA,93.258,dispersed,0.218221,0.161267,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_02g002930,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_02g004880,OG0000000,74,0,5.05495902447824,NA,NA,NA,NA,NA,NA,NA,NA,93.86,dispersed,0.270933,0.111638,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_02g023180,OG0000000,74,0,0.161570008194805,NA,NA,NA,NA,NA,NA,NA,NA,92.063,dispersed,0.120089,0.325151,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_03g009020,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,83.803,dispersed,0.772937,0.110994,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_03g009650,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,79.747,dispersed,0.390991,0.336837,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_03g009880,OG0000000,74,0,0.307113736392799,NA,NA,NA,NA,NA,NA,NA,NA,88.525,dispersed,0.290332,0.336347,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_03g012130,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,88.764,dispersed,0.227336,0.263235,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_03g013260,OG0000000,74,0,0.0711760607634879,NA,NA,NA,NA,NA,NA,NA,NA,71.875,dispersed,0.754846,0.226344,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_03g013620,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,86.667,dispersed,0.842123,0.155448,TRUE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_04g004970,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,90.756,dispersed,0.172021,0.392687,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_04g005750,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,89.63,dispersed,0.214634,0.227383,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_04g006220,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,94.495,dispersed,0.204471,0.132234,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_04g007570,OG0000000,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,90.698,dispersed,0.265827,0.366589,FALSE,wild,NA,NA
Shav1,Solhav1_01g006110,Solhav1_04g009910,OG0000000,74,0,0.168285228527113,NA,NA,NA,NA,NA,NA,NA,NA,89.189,dispersed,0.307891,0.165482,FALSE,wild,NA,NA
