species,dataset,OG,Gene1,Gene2,exp_sum,exp_log2FC
Scan1,Scan1_leaves,OG0000005,Solcan1_01g006930,Solcan1_02g019770,2.67267656535079,0.695680840649144
Scan1,Scan1_leaves,OG0000005,Solcan1_01g006930,Solcan1_02g019770,1.47940529946254,0.193287846962113
Scan1,Scan1_leaves,OG0000005,Solcan1_01g006930,Solcan1_02g019770,2.18957566311527,1.18110766781938
Scle2,Scle2_leaves,OG0000005,Solcle2_03g009830,Solcle2_07g012960,0.410125280256716,0.160464672193247
Sang8,Sang8_leaves,OG0000012,Solang8_03g005550,Solang8_06g007390,6.63653091442903,3.31061038254381
Scan1,Scan1_leaves,OG0000012,Solcan1_09g018060,Solcan1_10g016840,1.03587147251076,1.58496250072116
Scan1,Scan1_leaves,OG0000012,Solcan1_09g018060,Solcan1_10g016840,0.721142680461084,1.58496250072116
Smac3,Smac3_leaves,OG0000012,Solmac3_03g026200,Solmac3_12g013280,0.755966251484418,1.11639106747956
Smac3,Smac3_leaves,OG0000012,Solmac3_03g026200,Solmac3_12g013280,1.28497217858536,2.92374598953717
Spri1,Spri1_leaves,OG0000012,Solpri1_03g008410,Solpri1_11g014870,0.488617701141811,0.433443614376102
Spri1,Spri1_leaves,OG0000012,Solpri1_03g008410,Solpri1_11g014870,0.9426033142664,1.4334436143761
Scle2,Scle2_leaves,OG0000020,Solcle2_ctg00000025g000010,Solcle2_ctg00000278g000050,0.732141863322023,1
Scle2,Scle2_leaves,OG0000020,Solcle2_ctg00000025g000010,Solcle2_ctg00000278g000050,0.908548518050752,0
Scle2,Scle2_leaves,OG0000020,Solcle2_ctg00000025g000010,Solcle2_ctg00000278g000050,1.0224444999357,1.58496250072116
Squi2,Squi2_leaves,OG0000020,Solqui2_02g033460,Solqui2_ctg00000543g000030,0.862012782894674,2.32192809488737
Scan1,Scan1_leaves,OG0000024,Solcan1_03g011020,Solcan1_03g022600,20.3569114135448,7.28591949926969
Scan1,Scan1_leaves,OG0000024,Solcan1_03g011020,Solcan1_03g022600,16.4072946657036,6.04624908650141
Scle2,Scle2_leaves,OG0000024,Solcle2_03g014610,Solcle2_07g013950,1.2351882065521,1.14852252471009
Spri1,Spri1_leaves,OG0000024,Solpri1_02g001270,Solpri1_07g017280,0.845460274906531,0.12817398824157
Spri1,Spri1_leaves,OG0000024,Solpri1_02g001270,Solpri1_07g017280,1.34386528620836,2.45010208312894
Spri1,Spri1_leaves,OG0000024,Solpri1_02g001270,Solpri1_07g017280,2.62074575503785,3.2156368294919
Spri1,Spri1_leaves,OG0000024,Solpri1_02g001270,Solpri1_07g017280,1.41032357587458,1.71313648896273
Slyc4,Slyc4_leaves,OG0000028,Solyc08g150149,Solyc12g150109,0.0576514882388385,0.181639327821299
Squi2,Squi2_leaves,OG0000028,Solqui2_05g009770,Solqui2_10g006710,2.01315440503475,3.50032044975016
Slyc4,Slyc4_leaves,OG0000040,Solyc01g106250,Solyc01g108950,0.618896201932542,0.610303630063702
Slyc4,Slyc4_leaves,OG0000040,Solyc01g106250,Solyc01g108950,0.268792687734076,1.71162446482366
Slyc4,Slyc4_leaves,OG0000040,Solyc01g106250,Solyc01g108950,0.885330832387044,2.29658696554482
Slyc4,Slyc4_leaves,OG0000040,Solyc01g106250,Solyc01g108950,0.425617821925878,3.17105608346096
Slyc4,Slyc4_leaves,OG0000040,Solyc01g106250,Solyc01g108950,0.442270667776821,1.29658696554482
Slyc4,Slyc4_leaves,OG0000040,Solyc01g106250,Solyc01g108950,0.227376268937211,1.71162446482366
Slyc4,Slyc4_leaves,OG0000040,Solyc01g106250,Solyc01g108950,0.372674038053477,0.711624464823665
Squi2,Squi2_leaves,OG0000040,Solqui2_01g023990,Solqui2_01g037120,0.205972012721142,0.382849372988657
Scle2,Scle2_leaves,OG0000041,Solcle2_04g008670,Solcle2_07g006270,1.82454522541908,3.02353241218769
Scle2,Scle2_leaves,OG0000041,Solcle2_04g008670,Solcle2_07g006270,1.91653916464464,2.75051391778128
Smac3,Smac3_leaves,OG0000041,Solmac3_02g010630,Solmac3_07g008150,12.0435783077714,2.817137997209
Smac3,Smac3_leaves,OG0000041,Solmac3_02g010630,Solmac3_07g008150,7.07807402321565,4.88883946256318
Scan1,Scan1_leaves,OG0000050,Solcan1_04g018570,Solcan1_06g030620,0.837240404362819,0.512750437222934
Scle2,Scle2_leaves,OG0000050,Solcle2_02g005730,Solcle2_04g008130,2.47916805431371,2.10150572768091
Scle2,Scle2_leaves,OG0000050,Solcle2_02g005730,Solcle2_04g008130,2.84706563390546,4.3645401335147
Saet3,Saet3_leaves,OG0000064,Solaet3_07g011920,Solaet3_07g021910,2.3767428534272,2.50201704584156
Scle2,Scle2_leaves,OG0000064,Solcle2_08g003310,Solcle2_08g003320,0.753631430475667,2.63875531808185
Saet3,Saet3_leaves,OG0000071,Solaet3_03g009190,Solaet3_10g014060,16.7478290634743,4.36036427654347
Sang8,Sang8_leaves,OG0000071,Solang8_03g009240,Solang8_10g014450,19.7673913246339,0.603483227917948
Sang8,Sang8_leaves,OG0000071,Solang8_03g009240,Solang8_10g014450,12.8378289876019,1.23743415353096
Sang8,Sang8_leaves,OG0000071,Solang8_03g009240,Solang8_10g014450,12.6181711338732,1.95727640289457
Scan1,Scan1_leaves,OG0000083,Solcan1_05g018430,Solcan1_11g019630,4.29237183099429,2.10358250661362
Scan1,Scan1_leaves,OG0000083,Solcan1_05g018430,Solcan1_11g019630,2.24171679262224,0.0663424948286883
Squi2,Squi2_leaves,OG0000083,Solqui2_05g017570,Solqui2_12g011330,1.1504976879066,0.0911478880581963
